Immigrants,Both,Madagascar,903,Africa,910,Eastern Africa,902,Developing regions,52,,,,,,
Immigrants,Both,Malawi,903,Africa,910,Eastern Africa,902,Developing regions,993,,,,,,
Immigrants,Both,Malaysia,935,Asia,920,South-Eastern Asia,902,Developing regions,4205,,,,,,
Immigrants,Both,Maldives,935,Asia,5501,Southern Asia,902,Developing regions,48,,,,,,
Immigrants,Both,Malta,908,Europe,925,Southern Europe,901,Developed regions,466,,,,,,
Immigrants,Both,Mauritania,903,Africa,914,Western Africa,902,Developing regions,0,,,,,,
Immigrants,Both,Mauritius,903,Africa,910,Eastern Africa,902,Developing regions,1435,,,,,,
Immigrants,Both,Mexico,904,Latin America and the Caribbean,916,Central America,902,Developing regions,1040,,,,,,
Immigrants,Both,Monaco,908,Europe,926,Western Europe,901,Developed regions,0,,,,,,
Immigrants,Both,Mongolia,935,Asia,906,Eastern Asia,902,Developing regions,0,,,,,,
Immigrants,Both,Montserrat,904,Latin America and the Caribbean,915,Caribbean,902,Developing regions,0,,,,,,
Immigrants,Both,Morocco,903,Africa,912,Northern Africa,902,Developing regions,0,,,,,,
Immigrants,Both,Mozambique,903,Africa,910,Eastern Africa,902,Developing regions,0,,,,,,
Immigrants,Both,Myanmar,935,Asia,920,South-Eastern Asia,902,Developing regions,135,,,,,,
Immigrants,Both,Namibia,903,Africa,913,Southern Africa,902,Developing regions,701,,,,,,
Immigrants,Both,Nepal,935,Asia,5501,Southern Asia,902,Developing regions,1959,,,,,,
Immigrants,Both,Netherlands,908,Europe,926,Western Europe,901,Developed regions,5356,,,,,,
Immigrants,Both,New Caledonia,909,Oceania,928,Melanesia,902,Developing regions,0,,,,,,
Immigrants,Both,Nicaragua,904,Latin America and the Caribbean,916,Central America,902,Developing regions,0,,,,,,
Immigrants,Both,Niger,903,Africa,914,Western Africa,902,Developing regions,0,,,,,,
Immigrants,Both,Nigeria,903,Africa,914,Western Africa,902,Developing regions,8920,,,,,,
Immigrants,Both,Norway,908,Europe,924,Northern Europe,901,Developed regions,1855,,,,,,
Immigrants,Both,Oman,935,Asia,922,Western Asia,902,Developing regions,627,,,,,,
Immigrants,Both,Panama,904,Latin America and the Caribbean,916,Central America,902,Developing regions,79,,,,,,
Immigrants,Both,Papua New Guinea,909,Oceania,928,Melanesia,902,Developing regions,159,,,,,,
Immigrants,Both,Paraguay,904,Latin America and the Caribbean,931,South America,902,Developing regions,333,,,,,,
Immigrants,Both,Peru,904,Latin America and the Caribbean,931,South America,902,Developing regions,43,,,,,,
